NumDevices,MobilitySpeed,TrafficInterval,Sigma,RunNumber,TotalPackets,SuccessfulPackets,PDR_Percent,AvgEnergy_mJ,alg,scenario
1000,0.0,145,0.00,70,110000,82711,75.19,0.217659,ADR-AVG,density
1000,0.0,145,0.00,70,110000,95778,87.07,0.169702,ADR-Lite,density
1000,0.0,145,0.00,70,110000,84413,76.74,0.154045,ADR-MAX,density
1000,0.0,145,0.00,70,110000,70840,64.40,0.325436,No-ADR,density
1000,0.0,145,3.96,70,110000,83991,76.36,0.203138,ADR-AVG,density
1000,0.0,145,3.96,70,110000,94337,85.76,0.166037,ADR-Lite,density
1000,0.0,145,3.96,70,110000,85018,77.29,0.150889,ADR-MAX,density
1000,0.0,145,3.96,70,110000,74227,67.48,0.325436,No-ADR,density
1000,0.0,145,7.92,70,110000,81526,74.11,0.197332,ADR-AVG,density
1000,0.0,145,7.92,70,110000,89799,81.64,0.169592,ADR-Lite,density
1000,0.0,145,7.92,70,110000,82138,74.67,0.150581,ADR-MAX,density
1000,0.0,145,7.92,70,110000,78377,71.25,0.325436,No-ADR,density
1000,0.0,3600,0.00,70,110000,109078,99.16,0.155609,ADR-AVG,density
1000,0.0,3600,0.00,70,110000,109506,99.55,0.133757,ADR-Lite,density
1000,0.0,3600,0.00,70,110000,109082,99.17,0.130480,ADR-MAX,density
1000,0.0,3600,0.00,70,110000,107140,97.40,0.325436,No-ADR,density
1000,0.0,3600,3.96,70,110000,106129,96.48,0.157398,ADR-AVG,density
1000,0.0,3600,3.96,70,110000,106794,97.09,0.136684,ADR-Lite,density
1000,0.0,3600,3.96,70,110000,106128,96.48,0.131605,ADR-MAX,density
1000,0.0,3600,3.96,70,110000,107469,97.70,0.325436,No-ADR,density
1000,0.0,3600,7.92,70,110000,97994,89.09,0.163197,ADR-AVG,density
1000,0.0,3600,7.92,70,110000,99311,90.28,0.145730,ADR-Lite,density
1000,0.0,3600,7.92,70,110000,97988,89.08,0.135197,ADR-MAX,density
1000,0.0,3600,7.92,70,110000,105066,95.51,0.325436,No-ADR,density
1000,0.0,72,0.00,70,110000,62089,56.44,0.290568,ADR-AVG,density
1000,0.0,72,0.00,70,110000,82784,75.26,0.331172,ADR-Lite,density
1000,0.0,72,0.00,70,110000,63661,57.87,0.224597,ADR-MAX,density
1000,0.0,72,0.00,70,110000,44770,40.70,0.325436,No-ADR,density
1000,0.0,72,3.96,70,110000,64739,58.85,0.286109,ADR-AVG,density
1000,0.0,72,3.96,70,110000,82527,75.02,0.234103,ADR-Lite,density
1000,0.0,72,3.96,70,110000,66031,60.03,0.198349,ADR-MAX,density
1000,0.0,72,3.96,70,110000,49493,44.99,0.325436,No-ADR,density
1000,0.0,72,7.92,70,110000,66556,60.51,0.250878,ADR-AVG,density
1000,0.0,72,7.92,70,110000,81053,73.68,0.205977,ADR-Lite,density
1000,0.0,72,7.92,70,110000,67580,61.44,0.177301,ADR-MAX,density
1000,0.0,72,7.92,70,110000,57081,51.89,0.325436,No-ADR,density
100,0.0,145,0.00,70,11000,10869,98.81,0.156817,ADR-AVG,density
100,0.0,145,0.00,70,11000,10922,99.29,0.134830,ADR-Lite,density
100,0.0,145,0.00,70,11000,10871,98.83,0.131111,ADR-MAX,density
100,0.0,145,0.00,70,11000,10010,91.00,0.325436,No-ADR,density
100,0.0,145,3.96,70,11000,10648,96.80,0.157752,ADR-AVG,density
100,0.0,145,3.96,70,11000,10712,97.38,0.136925,ADR-Lite,density
100,0.0,145,3.96,70,11000,10647,96.79,0.131847,ADR-MAX,density
100,0.0,145,3.96,70,11000,10186,92.60,0.325436,No-ADR,density
100,0.0,145,7.92,70,11000,9764,88.76,0.164410,ADR-AVG,density
